"MW","AMW","Sv","Se","Sp","Ss","Mv","Me","Mp","Ms","nAT","nSK","nBT","nBO","nBM","SCBO","nCIC","nCIR","RBN","RBF","nDB","nTB","nAB","nH","nC","nN","nO","nS","nF","nCL","nBR","nI","nX","nR03","nR05","nR06","nR07","nR08","nR09","nR10","nR11","nR12","nBnz","ISIZ","IAC","AAC","ZM1","ZM1V","ZM2","ZM2V","Qindex","SNar","HNar","GNar","Xt","Dz","Ram","Pol","LPRS","VDA","MSD","SMTI","SMTIV","GMTI","GMTIV","Xu","SPI","W","WA","RDSUM","Har","QW","TI1","TI2","HyDp","RHyDp","w_","ww","Rww","D.D","Wap","WhetZ","Whetm","Whetv","Whete","Whetp","J","JhetZ","Jhetm","Jhetv","Jhete","Jhetp","MAXDN","MAXDP","DELS","TIE","X0","X1","X2","X3","X4","X5","X0A","X1A","X2A","X3A","X4A","X5A","X0v","X1v","X2v","X3v","X4v","X5v","X0Av","X1Av","X2Av","X3Av","X4Av","X5Av","X0sol","X1sol","X2sol","X3sol","X4sol","X5sol","XMOD","RDCHI","RDSQ","S0K","S1K","S2K","S3K","PHI","BLI","PW2","PW3","PW4","PW5","PJI2","CSI","ECC","AECC","DECC","MDDD","UNIP","CENT","VAR","BAC","Lop","ICR","IDE","IDM","IDDE","IDDM","IDET","IDMT","IVDE","IVDM","HVcpx","HDcpx","Uindex","Vindex","Xindex","Yindex","IC0","TIC0","SIC0","CIC0","BIC0","IC1","TIC1","SIC1","CIC1","BIC1","IC2","TIC2","SIC2","CIC2","BIC2","IC3","TIC3","SIC3","CIC3","BIC3","IC4","TIC4","SIC4","CIC4","BIC4","IC5","TIC5","SIC5","CIC5","BIC5","LP1","STN","Eig1Z","Eig1m","Eig1v","Eig1e","Eig1p","SEigZ","SEigm","SEigv","SEige","SEigp","VEA1","VEA2","VRA1","VRA2","VED1","VED2","VRD1","VRD2","VEZ1","VEZ2","VRZ1","VRZ2","VEm1","VEm2","VRm1","VRm2","VEv1","VEv2","VRv1","VRv2","VEe1","VEe2","VRe1","VRe2","VEp1","VEp2","VRp1","VRp2","NGS","MPC03","MPC04","MPC05","MPC06","MPC07","MPC08","MPC09","MPC10","piPC03","piPC04","piPC05","piPC06","piPC07","piPC08","piPC09","piPC10","TPC","piID","PCR","PCD","CID","BID","D.Dr03","D.Dr05","D.Dr06","D.Dr07","D.Dr08","D.Dr09","D.Dr10","D.Dr11","D.Dr12","T.N..N.","T.N..O.","T.N..S.","T.N..F.","T.N..Cl.","T.N..Br.","T.N..I.","T.O..O.","T.O..S.","T.O..F.","T.O..Cl.","T.O..Br.","T.O..I.","T.S..S.","T.S..F.","T.S..Cl.","T.F..F.","T.F..Cl.","T.Cl..Cl.","T.Cl..Br.","T.I..I.","W3D","J3D","H3D","AGDD","DDI","ADDD","G1","G2","RGyr","SPAN","SPAM","SPH","ASP","FDI","PJI3","L.Bw","SEig","DISPm","QXXm","QYYm","QZZm","DISPv","QXXv","QYYv","QZZv","DISPe","QXXe","QYYe","QZZe","DISPp","QXXp","QYYp","QZZp","G.N..N.","G.N..O.","G.N..S.","G.N..F.","G.N..Cl.","G.N..Br.","G.N..I.","G.O..O.","G.O..S.","G.O..F.","G.O..Cl.","G.O..Br.","G.O..I.","G.S..S.","G.S..F.","G.S..Cl.","G.F..F.","G.F..Cl.","G.Cl..Cl.","G.Cl..Br.","G.I..I."
392.54,6.89,35.29,56.75,37.23,59.67,0.62,1,0.65,2.06,57,29,60,32,17,40.5,4,5,8,0.13,0,0,17,28,24,2,3,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,3,332.475,81.075,1.422,150,360,175,363,20,21.959,2.047,2.132,0,62,8,45,150.749,184,0.271,11744,17928,12582,28888,28.167,36.111,2668,6.571,108.743,54.424,2127.19,181.883,6.108,6735.5,32.544,4646,36418,22.384,238.78,26051,2171.595,2171.986,3221.2,2174.353,3465.935,1.165,1.42,1.42,0.959,1.418,0.891,1.855,4.5,19.823,124.509,20.054,14.242,12.215,10.478,8.831,7.274,0.692,0.445,0.284,0.184,0.121,0.081,16.829,10.133,7.402,5.448,3.921,2.779,0.58,0.317,0.172,0.096,0.054,0.031,20.054,14.242,12.215,10.478,8.831,7.274,89.237,4.217,245.455,97.617,20.019,9.484,4.836,6.547,0.95,0.568,0.34,0.191,0.103,1,810,370,12.759,2.076,29.931,138,1334,106,6,0.601,3.017,3.83,8.378,4.418,4.834,1554.914,22352.89,1.723,5.585,3.614,1.713,45.094,0.157,0.256,0.408,1.422,81.075,0.244,4.411,0.233,2.534,144.429,0.434,3.299,0.416,4.001,228.082,0.686,1.831,0.656,4.796,273.355,0.822,1.037,0.786,5.223,297.72,0.895,0.61,0.857,5.258,299.72,0.901,0.575,0.862,2.378,7.139,153.328,153.356,227.431,153.52,244.735,1.036,1.034,-3.738,1.026,-4.784,4.763,0.164,229.793,7.924,5.317,0.183,181.301,6.252,5.33,0.184,179.75,6.198,5.33,0.184,179.75,6.198,5.327,0.184,180.095,6.21,5.33,0.184,179.746,6.198,5.327,0.184,180.112,6.211,43,57,73,90,85,95,101,104,96,127.25,221.5,372,410.5,556.813,719.5,947.965,650.193,2115,52870.69,24.998,572.295,59.936,29.184,0,0,368.088,0,0,0,142.136,0,0,3,29,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,7452.356,2.909,202.149,261.486,1086.754,38.132,82.798,36.139,7.57,6.613,0.341,0.953,0.571,0.673,0.896,4.9,96.756,2.677,68.079,70.413,393.632,6.314,82.844,91.14,451.935,0.084,160.332,186.533,747.062,0.459,90.791,101.31,482.569,2.01,20.27,0,0,0,0,0,14.52,0,0,0,0,0,0,0,0,0,0,0,0,0
311.47,6.49,29.07,47.42,30.81,44,0.61,0.99,0.64,1.91,48,23,50,25,12,31,3,3,6,0.12,0,0,12,25,19,3,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,268.078,66.516,1.386,114,260,129,267,14,17.277,2.06,2.119,0,48.5,5,31,111.422,129.565,0.31,6503,9619,6843,14623,23.446,12.329,1490,5.889,75.597,40.568,1192.333,86.354,5.515,3452.5,23.887,2274,14197,18.334,166.501,8167,1230.31,1230.501,1806.054,1232.1,1944.693,1.268,1.523,1.522,1.036,1.52,0.962,0.947,2.155,10.389,97.73,15.908,11.326,9.495,7.874,6.292,4.985,0.692,0.453,0.297,0.197,0.131,0.087,13.818,8.395,5.985,4.335,3.028,2.085,0.601,0.336,0.187,0.108,0.063,0.037,15.908,11.326,9.495,7.874,6.292,4.985,70.509,3.781,167.241,69.95,16.129,8.207,4.615,5.756,1.007,0.559,0.321,0.17,0.089,0.875,584,271,11.783,1.985,22.888,97,749,86,2,0.393,2.91,3.693,7.685,3.849,4.495,934.259,11450.6,1.619,5.152,3.508,1.647,37.298,0.185,0.302,0.471,1.386,66.516,0.248,4.199,0.239,2.309,110.821,0.413,3.276,0.398,3.978,190.943,0.712,1.607,0.685,4.679,224.568,0.838,0.906,0.806,4.944,237.323,0.885,0.641,0.851,4.944,237.323,0.885,0.641,0.851,2.348,5.375,109.854,109.872,161.123,110.012,173.435,0.679,0.678,-2.27,0.669,-2.995,3.767,0.164,586.221,25.488,4.728,0.206,126.384,5.495,4.742,0.206,125.283,5.447,4.742,0.206,125.283,5.447,4.744,0.206,124.799,5.426,4.742,0.206,125.279,5.447,4.745,0.206,124.701,5.422,32,40,48,57,50,55,56,54,56,79.5,122.5,186.25,141.688,160.281,177.875,190.875,219.875,872,5961.207,6.836,57.383,47.234,23.205,0,0,251.19,0,0,0,0,0,0,18,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5371.071,2.981,154.274,223.795,837.645,34.902,58.24,28.24,7.492,7.117,0.385,0.946,0.846,0.731,0.87,18.5,80.179,3.476,19.733,22.253,363.194,1.848,32.952,41.909,421.578,0.106,74.882,103.171,679.203,0.089,38.034,49.391,448.687,13.26,8.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
415.51,7.42,34.31,56.81,35.87,71.83,0.61,1.01,0.64,2.39,56,30,59,33,14,40.5,4,5,6,0.1,1,0,13,26,22,3,4,0,1,0,0,0,1,0,0,4,0,0,0,1,0,0,2,325.212,92.138,1.645,156,448,182,414,21,22.364,2,2.107,0,67,9,47,158.352,200.133,0.278,13076,22614,13875,40774,29.112,114.11,3002,6.901,113.568,56.394,2310.614,191.285,6.078,8038.5,33.761,5018,38921,23.737,263.398,30442,2423.887,2423.198,3568.111,2428.201,3864.324,1.153,1.418,1.418,0.97,1.416,0.897,2.019,5.114,37.98,174.366,20.924,14.635,12.815,11.024,8.79,7.34,0.697,0.443,0.285,0.187,0.119,0.076,16.72,10.182,7.429,5.402,3.714,2.647,0.557,0.309,0.165,0.092,0.05,0.028,19.924,14.058,11.998,10.446,8.457,6.912,93.329,4.299,256.627,104.465,21.066,9.75,5.124,6.847,0.926,0.575,0.339,0.176,0.1,0.9,945,435,14.5,2.233,34.542,152,1444,146,11,0.659,3.232,3.953,8.464,4.031,4.877,1719.755,25409.06,1.782,5.515,3.771,1.72,47.523,0.154,0.251,0.395,1.645,92.138,0.283,4.162,0.272,2.987,167.257,0.514,2.821,0.493,4.267,238.931,0.735,1.541,0.705,4.893,273.993,0.843,0.915,0.808,5.164,289.212,0.889,0.643,0.853,5.164,289.212,0.889,0.643,0.853,2.437,7.139,166.81,166.746,246.697,167.11,267.441,1.762,1.794,-6.569,1.728,-8.738,4.08,0.136,1448.677,48.289,5.393,0.18,192.035,6.401,5.403,0.18,190.732,6.358,5.403,0.18,190.705,6.357,5.389,0.18,192.364,6.412,5.403,0.18,190.739,6.358,5.387,0.18,192.631,6.421,45,59,74,96,100,110,118,127,133,118.25,188.875,309.813,354.156,404.531,430.75,505.75,538.375,2470,28056.33,11.359,288.498,61.795,30.176,0,0,382.532,0,0,0,146.024,0,0,12,82,0,27,0,0,0,48,0,56,0,0,0,0,0,0,0,0,0,0,0,8124.902,2.555,182.325,290.175,1128.586,40.307,85.253,38.255,9.377,7.824,0.374,0.959,0.798,0.722,0.939,13.1,92.998,3.936,47.544,49.676,651.248,5.435,57.858,65.433,602.215,0.113,122.045,145.971,1029.95,0.357,64.208,73.814,626.962,9.32,57.4,0,21.16,0,0,0,33.45,0,41.01,0,0,0,0,0,0,0,0,0,0,0
327.44,7.12,28.58,46.04,29.98,55.17,0.62,1,0.65,2.3,46,24,48,26,14,33.5,3,3,4,0.08,1,0,13,22,19,3,1,0,1,0,0,0,1,0,0,3,0,0,0,0,0,0,1,254.084,70.511,1.533,120,324,136,302,15,17.682,2,2.089,0,52,6,33,117.989,139.083,0.305,7242,12080,7588,20537,24.278,38.249,1669,6.047,80.498,42.612,1336,92.884,5.658,3951,25.164,2425,14808,20.904,190.616,8556,1380.101,1379.374,1765.983,1382.103,1875.845,1.276,1.524,1.524,1.199,1.522,1.132,1.975,5.077,24.13,165.527,16.778,11.72,10.107,8.345,6.373,5.106,0.699,0.451,0.297,0.199,0.13,0.085,13.696,8.393,6.05,4.39,2.985,2.08,0.571,0.323,0.178,0.105,0.061,0.035,15.778,11.143,9.291,7.768,6.04,4.678,73.407,3.833,178.053,77.205,16.756,8.14,4.706,5.683,0.968,0.569,0.323,0.162,0.089,1,638,297,12.375,1.958,23.59,105,818,92,5,0.49,3.094,3.748,7.812,3.772,4.558,1034.321,13038.92,1.666,5.306,3.591,1.659,39.73,0.183,0.3,0.466,1.533,70.511,0.278,3.991,0.265,2.564,117.96,0.464,2.959,0.443,3.861,177.603,0.699,1.663,0.666,4.611,212.084,0.835,0.913,0.796,4.784,220.084,0.866,0.739,0.826,4.784,220.084,0.866,0.739,0.826,2.315,5.375,117.938,117.863,151.318,118.116,161.037,1.012,1.046,-3.71,0.983,-5.154,4.2,0.175,203.734,8.489,4.829,0.201,134.346,5.598,4.846,0.202,132.634,5.526,4.846,0.202,132.608,5.525,4.837,0.202,133.568,5.565,4.846,0.202,132.648,5.527,4.833,0.201,133.922,5.58,34,42,49,60,56,56,54,56,62,93.25,142.625,228.313,224.219,228.656,195.344,219.719,276.906,915,8308.684,9.081,83.367,49.053,24.198,0,0,269.014,0,0,0,0,0,0,8,23,0,35,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,4889.231,2.886,141.304,212.575,780.024,33.914,60.995,29.315,7.661,6.716,0.382,0.95,0.864,0.74,0.878,21.1,76.008,5.984,19.823,21.258,416.901,2.873,28.518,33.617,408.924,0.223,65.935,82.039,662.387,0.142,32.561,39.027,426.026,5.65,15.21,0,27.2,0,0,0,0,0,4.62,0,0,0,0,0,0,0,0,0,0,0
371.91,7.75,30.6,48.18,32.16,55.28,0.64,1,0.67,2.13,48,26,51,29,12,35.5,4,5,4,0.08,1,0,11,22,19,5,1,0,0,1,0,0,1,0,1,3,0,0,1,0,0,0,1,268.078,77.65,1.618,138,325.605,162,348.111,20,19.879,2.053,2.148,0,55.833,8,39,130.532,154.077,0.286,8941,13506.6,9662,21437.89,25.769,30.199,2003,6.163,93.065,48.516,1540.787,146.143,5.606,4813,28.787,3489,25301,17.589,187.421,20214,1671.675,1671.445,2391.555,1685.594,2589.548,1.142,1.353,1.353,0.945,1.344,0.872,1.73,5.27,19.153,107.258,17.933,12.704,11.307,9.715,8.081,6.437,0.69,0.438,0.283,0.183,0.119,0.079,15.347,9.355,7.033,5.113,3.645,2.538,0.59,0.323,0.176,0.096,0.054,0.031,18.433,12.992,11.715,9.977,8.335,6.651,82.682,4,212.114,89.901,17.588,7.824,3.979,5.293,0.968,0.579,0.34,0.185,0.099,0.875,690,312,12,1.923,25.077,117,964,90,5,0.465,2.936,3.749,8.049,4.258,4.676,1218.327,16122.17,1.651,5.272,3.549,1.681,38.477,0.16,0.261,0.411,1.618,77.65,0.29,3.967,0.277,2.709,130.055,0.485,2.875,0.464,4.029,193.407,0.721,1.556,0.689,4.835,232.078,0.866,0.75,0.827,5.043,242.078,0.903,0.542,0.863,5.043,242.078,0.903,0.542,0.863,2.437,6.951,131.608,131.586,187.838,132.831,203.243,1.611,1.624,-3.115,1.16,-4.002,3.574,0.137,842.899,32.419,5.033,0.194,155.369,5.976,5.048,0.194,153.543,5.905,5.048,0.194,153.532,5.905,5.051,0.194,153.442,5.902,5.046,0.194,153.873,5.918,5.052,0.194,153.258,5.895,40,53,68,82,80,86,91,88,95,93.625,148.875,224.219,230.063,277.063,320.375,295.25,316.25,1783,13663.23,7.663,133.955,53.87,26.199,0,60.653,256.442,0,0,117.748,0,0,0,42,18,0,0,47,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,5530.151,2.399,149.584,230.423,859.245,35.802,73.539,34.555,8.223,7.022,0.382,0.956,0.841,0.748,0.965,17.4,79.366,4.117,29.866,31.378,522.997,1.736,35.37,40.744,487.417,0.123,76.807,93.78,741.038,0.255,40.148,46.963,516.5,32.75,14.24,0,0,36.94,0,0,0,0,0,9.66,0,0,0,0,0,0,0,0,0,0
213.31,6.88,19.57,30.65,20.56,30.5,0.63,0.99,0.66,1.91,31,16,33,18,11,23.5,3,4,0,0,0,0,11,15,13,3,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,1,153.58,42.116,1.359,84,184,98,204,13,12.712,2.182,2.213,0.002,33.5,4,23,63.697,54.5,0.268,2006,2944,2114,4343,16.052,4,436,3.633,48.304,28.722,290.548,29.724,2.381,626,16.705,1092,6200,5.005,50.118,3902,319.952,319.974,426.954,320.492,455.267,1.566,2.158,2.158,1.619,2.154,1.52,0.585,1.697,6.834,50.093,10.795,7.933,6.776,5.897,4.943,4.186,0.675,0.441,0.282,0.184,0.121,0.079,9.187,5.748,4.099,3.025,2.125,1.488,0.574,0.319,0.171,0.095,0.052,0.028,10.795,7.933,6.776,5.897,4.943,4.186,49.079,2.966,110.53,46.956,9.761,4.202,1.952,2.564,0.958,0.566,0.333,0.186,0.104,0.8,246,111,6.938,1.078,8.625,40,232,34,0,0,2.281,2.89,6.685,3.281,3.975,346.844,2914.682,1.477,4.605,2.852,1.55,21.814,0.28,0.421,0.817,1.359,42.116,0.274,3.596,0.258,2.476,76.767,0.5,2.478,0.47,3.422,106.07,0.691,1.533,0.65,4.18,129.58,0.844,0.774,0.794,4.309,133.58,0.87,0.645,0.818,4.309,133.58,0.87,0.645,0.818,2.382,5.347,41.518,41.521,55.379,41.588,59.094,0.429,0.428,-1.317,0.421,-1.8,3.715,0.232,87.345,5.459,3.949,0.247,76.079,4.755,3.939,0.246,76.677,4.792,3.939,0.246,76.677,4.792,3.94,0.246,76.437,4.777,3.939,0.246,76.674,4.792,3.939,0.246,76.454,4.778,24,32,41,53,50,56,58,59,46,79.25,144.5,266,338.469,495.938,689.273,928.02,600.223,549,5691.07,10.366,57.979,33.45,16.358,0,0,110.208,0,0,0,57.777,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1639.981,2.743,86.544,105.805,362.165,23.366,39.192,19.945,3.761,4.532,0.382,0.908,0.635,0.756,0.918,6.4,50.383,3.878,13.71,13.72,96.701,6.651,22.518,22.555,121.38,0.042,49.854,49.97,216.621,0.469,25.854,25.9,131.775,5.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
319.37,7.79,25.41,41.93,26.38,61.67,0.62,1.02,0.64,2.68,41,23,43,25,12,32,3,4,3,0.07,2,0,10,18,16,3,3,0,1,0,0,0,1,0,0,3,0,0,0,1,0,0,1,219.66,71.091,1.734,122,372,147,347,18,16.126,1.84,2.016,0,52,9,41,104.746,97.043,0.222,4751,8673,4773,15173,21.916,418.606,1116,4.411,84.247,43.96,796.552,57.69,2.41,1861,26.398,2424,14326,15.504,122.778,8930,825.476,824.778,1116.451,826.866,1197.941,1.75,2.381,2.383,1.813,2.377,1.701,2.967,6.495,39.715,148.274,16.56,11.024,10.009,8.636,7.271,6.1,0.72,0.441,0.278,0.173,0.109,0.068,12.804,7.583,5.521,4.178,2.961,2.116,0.557,0.303,0.153,0.084,0.044,0.024,15.56,10.447,9.268,7.972,6.591,5.361,70.392,3.315,192.071,78.874,15.967,6.301,2.843,4.374,0.91,0.586,0.36,0.201,0.116,0.833,405,192,8.348,1.406,17.437,70,622,68,30,0.982,2.562,3.166,7.773,4.089,4.493,800.879,8674.96,2.054,5.066,3.043,1.664,36.564,0.274,0.409,0.814,1.734,71.091,0.324,3.624,0.307,3.27,134.05,0.61,2.088,0.579,4.285,175.685,0.8,1.073,0.759,4.705,192.905,0.878,0.653,0.834,4.705,192.905,0.878,0.653,0.834,4.705,192.905,0.878,0.653,0.834,2.504,5.347,75.141,75.085,102.409,75.266,110.192,1.512,1.544,-5.616,1.48,-7.543,4.149,0.18,173.115,7.527,4.717,0.205,130.942,5.693,4.704,0.205,131.661,5.724,4.704,0.205,131.64,5.723,4.682,0.204,135.163,5.877,4.704,0.205,131.68,5.725,4.675,0.203,135.975,5.912,36,50,67,90,101,113,120,129,113,118.75,213.875,378.125,573.781,856.547,1155.773,1542.445,1403.895,1138,10102.5,8.877,101.079,46.71,23.285,0,0,175.52,0,0,0,93.032,0,0,14,65,0,14,0,0,0,8,0,19,0,0,0,0,0,0,0,0,0,0,0,3220.451,3.136,126.939,157.095,612.069,29.857,66.597,28.849,5.243,5.422,0.364,0.919,0.493,0.731,0.87,3.7,68.474,10.652,48.315,48.325,213.237,6.677,46.798,46.833,196.083,0.389,99.475,99.587,380.588,0.352,50.55,50.595,206.851,10.84,49.49,0,9.55,0,0,0,4.81,0,15.09,0,0,0,0,0,0,0,0,0,0,0
320.36,8.01,24.81,41.15,25.63,62.67,0.62,1.03,0.64,2.72,40,23,42,25,12,32,3,4,3,0.07,2,0,10,17,15,4,3,0,1,0,0,0,1,0,0,3,0,0,0,1,0,0,0,212.877,72.032,1.801,122,388,147,363,18,16.126,1.84,2.016,0,52.5,9,41,104.746,97.043,0.222,4751,8835,4773,15731,21.916,418.606,1116,4.411,84.247,43.96,796.552,57.69,2.41,1861,26.398,2424,14326,15.504,122.778,8930,805.857,805.173,1143.384,807.603,1234.741,1.75,2.445,2.447,1.765,2.44,1.645,2.995,6.432,42.02,180.78,16.56,11.024,10.009,8.636,7.271,6.1,0.72,0.441,0.278,0.173,0.109,0.068,12.674,7.452,5.365,3.971,2.768,1.952,0.551,0.298,0.149,0.079,0.041,0.022,15.56,10.447,9.268,7.972,6.591,5.361,70.801,3.315,192.071,80.149,15.904,6.261,2.821,4.33,0.894,0.586,0.36,0.201,0.116,0.833,405,192,8.348,1.406,17.437,70,622,68,30,0.982,2.562,3.166,7.773,4.089,4.493,800.879,8674.96,2.054,5.066,3.043,1.664,36.564,0.274,0.409,0.814,1.801,72.032,0.338,3.521,0.321,3.367,134.664,0.633,1.955,0.6,4.273,170.903,0.803,1.049,0.761,4.653,186.122,0.874,0.669,0.829,4.653,186.122,0.874,0.669,0.829,4.653,186.122,0.874,0.669,0.829,2.504,5.347,73.43,73.374,104.717,73.587,113.356,1.655,1.687,-6.055,1.62,-8.143,4.149,0.18,173.115,7.527,4.717,0.205,130.942,5.693,4.702,0.204,131.979,5.738,4.702,0.204,131.957,5.737,4.685,0.204,134.781,5.86,4.702,0.204,131.993,5.739,4.679,0.203,135.52,5.892,36,50,67,90,101,113,120,129,113,118.75,213.875,378.125,573.781,856.547,1155.773,1542.445,1403.895,1138,10102.5,8.877,101.079,46.71,23.285,0,0,175.52,0,0,0,93.032,0,0,19,81,0,17,0,0,0,8,0,19,0,0,0,0,0,0,0,0,0,0,0,3097,3.031,119.829,154.85,585.703,29.285,67.156,29.095,5.159,5.41,0.368,0.919,0.496,0.735,0.87,3.8,66.506,10.221,47.615,48.174,212.287,6.486,46.229,48.213,195.4,0.386,98.143,104.411,379.087,0.343,49.94,52.456,206.139,14.47,62.24,0,12.22,0,0,0,4.81,0,15.09,0,0,0,0,0,0,0,0,0,0,0
303.36,7.78,24.09,39.85,24.93,56,0.62,1.02,0.64,2.55,39,22,41,24,13,31.5,3,4,3,0.07,2,0,11,17,14,5,3,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,206.131,66.976,1.717,116,348,139,342,17,15.72,1.886,2.043,0,49.5,8,38,99.094,92.364,0.233,4360,7808,4408,13460,21.221,192.536,1016,4.398,78.152,41.504,720.576,54.459,2.513,1707,24.799,2202,12969,14.098,111.726,8226,705.024,705.096,1013.939,706.252,1095.236,1.69,2.459,2.459,1.731,2.455,1.606,2.903,5.228,32.159,128.902,15.69,10.613,9.47,8.224,6.897,5.688,0.713,0.442,0.279,0.175,0.111,0.069,12.243,7.207,5.107,3.773,2.574,1.788,0.556,0.3,0.15,0.08,0.042,0.022,15.69,10.613,9.47,8.224,6.897,5.688,67.925,3.294,178.022,74.825,14.942,6.028,2.729,4.094,0.901,0.582,0.356,0.197,0.112,0.833,392,185,8.409,1.409,17.124,66,580,66,21,0.964,2.556,3.181,7.632,3.698,4.428,734.818,7754.251,2.003,5.084,3.05,1.649,34.299,0.267,0.402,0.784,1.717,66.976,0.325,3.568,0.307,3.331,129.918,0.63,1.954,0.595,4.209,164.157,0.796,1.076,0.752,4.599,179.376,0.87,0.686,0.821,4.599,179.376,0.87,0.686,0.821,4.599,179.376,0.87,0.686,0.821,2.485,5.347,67.255,67.262,96.851,67.372,104.679,1.464,1.462,-5.055,1.447,-6.584,4.05,0.184,169.495,7.704,4.612,0.21,122.544,5.57,4.596,0.209,123.761,5.626,4.596,0.209,123.762,5.626,4.587,0.209,124.948,5.679,4.596,0.209,123.76,5.625,4.586,0.208,125.125,5.687,34,47,62,82,90,101,108,115,108,119,213.75,376.313,592.219,907.594,1291.57,1684.336,1751.309,1048,12003.9,11.454,123.533,44.872,22.287,0,0,167.732,0,0,0,87.945,0,0,28,97,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2949.771,2.954,114.473,151.27,557.594,28.595,62.028,27.897,5.112,5.381,0.371,0.917,0.545,0.736,0.87,4.5,64.396,10.444,40.924,41.487,202.32,6.592,43.78,45.779,191.923,0.38,91.57,97.883,369.622,0.349,47.721,50.256,203.056,21.12,75.1,0,0,0,0,0,4.81,0,0,0,0,0,0,0,0,0,0,0,0,0
333.4,7.58,27.01,44.82,28.14,63.17,0.61,1.02,0.64,2.63,44,24,46,26,12,33,3,4,4,0.09,2,0,10,20,17,3,3,0,1,0,0,0,1,0,0,3,0,0,0,1,0,0,1,240.215,74.78,1.7,128,382,154,356,19,16.531,1.8,1.991,0,54,10,43,111.492,106.417,0.225,5396,9626,5402,16374,22.827,716.503,1277,4.627,89.267,46.022,906.886,63.051,2.607,2243,27.692,2667,15929,17.073,138.404,10251,955.881,955.159,1301.667,957.519,1398.356,1.729,2.325,2.326,1.755,2.321,1.644,2.965,6.599,39.122,155.965,17.43,11.418,10.631,9.047,7.423,6.329,0.726,0.439,0.28,0.174,0.108,0.067,13.751,7.955,6.074,4.564,3.103,2.301,0.573,0.306,0.16,0.088,0.045,0.024,16.43,10.841,9.89,8.383,6.743,5.59,72.952,3.383,203.345,81.696,16.932,6.536,3.071,4.611,0.918,0.594,0.359,0.193,0.115,1,456,217,9.042,1.465,18.75,77,706,84,41,0.99,2.721,3.262,7.888,3.855,4.553,900.37,10072.79,2.122,5.105,3.131,1.674,39.056,0.265,0.399,0.776,1.7,74.78,0.311,3.76,0.297,3.009,132.385,0.551,2.451,0.525,4.151,182.631,0.76,1.309,0.725,4.561,200.705,0.836,0.898,0.796,4.743,208.705,0.869,0.716,0.828,4.743,208.705,0.869,0.716,0.828,2.506,5.347,83.517,83.462,114.692,83.659,123.546,1.512,1.544,-5.616,1.48,-7.543,4.209,0.175,187.021,7.793,4.815,0.201,139.315,5.805,4.803,0.2,139.981,5.833,4.803,0.2,139.962,5.832,4.78,0.199,143.494,5.979,4.803,0.2,140,5.833,4.774,0.199,144.292,6.012,38,52,69,94,107,119,126,141,131,120.75,215.875,382.125,581.781,868.547,1173.773,1591.945,1526.52,1268,11143.49,8.788,111.351,48.568,24.27,0,0,187.203,0,0,0,99.643,0,0,14,65,0,14,0,0,0,8,0,19,0,0,0,0,0,0,0,0,0,0,0,3916.659,3.172,137.924,178.03,704.959,32.044,69.831,30.119,5.749,5.782,0.362,0.928,0.548,0.731,0.934,4.5,73.848,12.08,48.498,48.498,249.518,7.608,48.034,48.034,237.776,0.422,102.893,102.895,458.88,0.399,52.104,52.104,252.208,10.84,49.49,0,9.55,0,0,0,4.81,0,15.09,0,0,0,0,0,0,0,0,0,0,0
